name,cost,position,points,ppd,roi
Zach Whitecloud,1000000,D,14,71429,0.000014000
Tanner Jeannot,1000000,F,14,71429,0.000014000
Nick Jensen,1000000,D,14,71429,0.000014000
Kailer Yamamoto,1150000,F,16,71875,0.000013913
Blake Wheeler,1510000,F,21,71905,0.000013907
Alex Pietrangelo,2380000,D,33,72121,0.000013866
Matthew Beniers,2680000,C,37,72432,0.000013806
Mark Jankowski,1090000,C,15,72667,0.000013761
Artturi Lehkonen,2490000,F,34,73235,0.000013655
Brandon Montour,2420000,D,33,73333,0.000013636
Blake Lizotte,1100000,F,15,73333,0.000013636
Dylan Guenther,2570000,F,35,73429,0.000013619
Emil Bemstrom,1180000,F,16,73750,0.000013559
Valtteri Puustinen,1480000,F,20,74000,0.000013514
Samuel Girard,1350000,D,18,75000,0.000013333
Leo Carlsson,2190000,C,29,75517,0.000013242
Anthony Beauvillier,1290000,F,17,75882,0.000013178
Shea Theodore,3190000,D,42,75952,0.000013166
Frederick Gaudreau,1140000,C,15,76000,0.000013158
Noah Cates,1370000,F,18,76111,0.000013139
Calle Jarnkrok,1600000,C,21,76190,0.000013125
Lukas Reichel,1220000,F,16,76250,0.000013115
Johnathan Kovacevic,1000000,D,13,76923,0.000013000
Nick Seeler,1000000,D,13,76923,0.000013000
Jake Bean,1000000,D,13,76923,0.000013000
Dante Fabbro,1000000,D,13,76923,0.000013000
Brandon Duhaime,1000000,F,13,76923,0.000013000
Erik Cernak,1000000,D,13,76923,0.000013000
Conor Sheary,1160000,F,15,77333,0.000012931
Dominik Kubalik,1170000,F,15,78000,0.000012821
Justin Faulk,2360000,D,30,78667,0.000012712
Brett Pesce,1030000,D,13,79231,0.000012621
Klim Kostin,1110000,F,14,79286,0.000012613
Max Pacioretty,1840000,F,23,80000,0.000012500
Philip Tomasino,1620000,C,20,81000,0.000012346
Ryan Graves,1140000,D,14,81429,0.000012281
Jesper Boqvist,1150000,C,14,82143,0.000012174
Scott Perunovich,1400000,D,17,82353,0.000012143
Adam Fantilli,2230000,C,27,82593,0.000012108
Matt Dumba,1000000,D,12,83333,0.000012000
Nicolas Hague,1000000,D,12,83333,0.000012000
Carl Grundstrom,1000000,F,12,83333,0.000012000
Noah Gregor,1000000,F,12,83333,0.000012000
Barclay Goodrow,1000000,F,12,83333,0.000012000
Simon Nemec,1620000,D,19,85263,0.000011728
Victor Olofsson,1280000,F,15,85333,0.000011719
Mason Lohrei,1110000,D,13,85385,0.000011712
Connor Brown,1030000,F,12,85833,0.000011650
Evgeny Kuznetsov,2090000,C,24,87083,0.000011483
Arthur Kaliyev,1360000,F,15,90667,0.000011029
Kevin Bahl,1000000,D,11,90909,0.000011000
Ian Cole,1000000,D,11,90909,0.000011000
Jon Merrill,1000000,D,11,90909,0.000011000
Matt Grzelcyk,1010000,D,11,91818,0.000010891
Pierre-Olivier Joseph,1010000,D,11,91818,0.000010891
Justin Barron,1200000,D,13,92308,0.000010833
Cody Glass,1220000,C,13,93846,0.000010656
Tyson Barrie,1410000,D,15,94000,0.000010638
Kent Johnson,1550000,F,16,96875,0.000010323
Jack Quinn,1870000,F,19,98421,0.000010160
Ben Hutton,1000000,D,10,100000,0.000010000
Andreas Englund,1000000,D,10,100000,0.000010000
Josh Brown,1000000,D,10,100000,0.000010000
Jayden Struble,1000000,D,10,100000,0.000010000
Jamie Drysdale,1000000,D,10,100000,0.000010000
David Jiricek,1000000,D,10,100000,0.000010000
Rafael Harvey-Pinard ,1000000,F,10,100000,0.000010000
Phillip Di Giuseppe,1000000,F,10,100000,0.000010000
Eric Robinson,1000000,F,10,100000,0.000010000
Calvin de Haan,1000000,D,10,100000,0.000010000
Andrew Peeke,1000000,D,10,100000,0.000010000
Sam Malinski,1000000,D,10,100000,0.000010000
Matthew Poitras,1540000,C,15,102667,0.000009740
Viktor Arvidsson,1570000,F,15,104667,0.000009554
Andre Burakovsky,1740000,F,16,108750,0.000009195
Arber Xhekaj,1100000,D,10,110000,0.000009091
Ty Emberson,1110000,D,10,111000,0.000009009
Mark Giordano,1000000,D,9,111111,0.000009000
Colin Miller,1000000,D,9,111111,0.000009000
Nikita Okhotiuk,1000000,D,9,111111,0.000009000
Jacob MacDonald,1000000,D,9,111111,0.000009000
Jonas Siegenthaler,1000000,D,9,111111,0.000009000
Christian Dvorak,1000000,F,9,111111,0.000009000
