name,cost,position,points,ppd,roi,actual
Ryan Donato,1440000,F,24,60000.00,0.000016667,LW/RW
Nicolas Aube-Kubel,1260000,F,21,60000.00,0.000016667,RW
Chris Tierney,1990000,C,33,60303.03,0.000016583,C
Nick Schmaltz,1930000,F,32,60312.50,0.000016580,C/LW
Max Domi,2560000,C,42,60952.38,0.000016406,C
Andrew Shaw,1160000,F,19,61052.63,0.000016379,C/RW
Vince Dunn,1470000,D,24,61250.00,0.000016327,LD
Anthony Beauvillier,2270000,F,37,61351.35,0.000016300,LW
Dougie Hamilton,2580000,D,42,61428.57,0.000016279,RD
Brett Pesce,1110000,D,18,61666.67,0.000016216,RD
Jimmy Vesey,1300000,F,21,61904.76,0.000016154,LW
Filip Hronek,1920000,D,31,61935.48,0.000016146,RD
Derek Ryan,1430000,C,23,62173.91,0.000016084,C
Clayton Keller,2620000,F,42,62380.95,0.000016031,LW
Nicklas Backstrom,2870000,C,46,62391.30,0.000016028,C
Ryan Murray,1000000,D,16,62500.00,0.000016000,LD
Adam Pelech,1000000,D,16,62500.00,0.000016000,LD
Tage Thompson,1000000,F,16,62500.00,0.000016000,RW
Joel Kiviranta,1000000,F,16,62500.00,0.000016000,LW
Jakub Vrana,2690000,F,43,62558.14,0.000015985,LW
Max Comtois,1130000,F,18,62777.78,0.000015929,LW
Philippe Myers,1130000,D,18,62777.78,0.000015929,RD
Nolan Patrick,1390000,F,22,63181.82,0.000015827,C/RW
Thomas Chabot,2340000,D,37,63243.24,0.000015812,LD
Henri Jokiharju,1140000,D,18,63333.33,0.000015789,RD
Matt Dumba,1840000,D,29,63448.28,0.000015761,RD
Artemi Panarin,4390000,F,69,63623.19,0.000015718,LW
William Karlsson,2610000,C,41,63658.54,0.000015709,C
Mikko Koivu,1210000,C,19,63684.21,0.000015702,C
Travis Konecny,3260000,F,51,63921.57,0.000015644,RW
Brent Burns,2690000,D,42,64047.62,0.000015613,RD
Shea Theodore,2500000,D,39,64102.56,0.000015600,LD
Paul Byron,1090000,F,17,64117.65,0.000015596,LW
Sam Reinhart,2950000,F,46,64130.43,0.000015593,RW
Jakub Voracek,2890000,F,45,64222.22,0.000015571,RW
Sean Monahan,3020000,C,47,64255.32,0.000015563,C
Kevin Labanc,2390000,F,37,64594.59,0.000015481,RW
Mattias Janmark,1230000,F,19,64736.84,0.000015447,LW
Mattias Ekholm,1880000,D,29,64827.59,0.000015426,LD
Logan Couture,2600000,C,40,65000.00,0.000015385,C
Marcus Pettersson,1300000,D,20,65000.00,0.000015385,LD
Sam Bennett,1300000,C,20,65000.00,0.000015385,C
Alec Martinez,1170000,D,18,65000.00,0.000015385,LD
Jordan Kyrou,1040000,F,16,65000.00,0.000015385,RW
Victor Olofsson,2150000,F,33,65151.52,0.000015349,LW
Chandler Stephenson,1500000,F,23,65217.39,0.000015333,C/LW
Mathew Barzal,3200000,C,49,65306.12,0.000015313,C
Leon Draisaitl,5160000,F,79,65316.46,0.000015310,C
Kevin Fiala,3210000,F,49,65510.20,0.000015265,LW/RW
Damon Severson,1900000,D,29,65517.24,0.000015263,RD
Ryan Pulock,2100000,D,32,65625.00,0.000015238,RD
Lucas Wallmark,1510000,C,23,65652.17,0.000015232,C
Jason Zucker,2500000,F,38,65789.47,0.000015200,LW
John Marino,1320000,D,20,66000.00,0.000015152,RD
Sam Gagner,1190000,F,18,66111.11,0.000015126,C/RW
Adam Gaudette,1590000,C,24,66250.00,0.000015094,C
Oskar Sundqvist,1460000,F,22,66363.64,0.000015068,C/RW
Jared Spurgeon,1930000,D,29,66551.72,0.000015026,RD
Ethan Bear,1400000,D,21,66666.67,0.000015000,RD
Caleb Jones,1000000,D,15,66666.67,0.000015000,LD
Alexander Romanov,1000000,D,15,66666.67,0.000015000,LD
Brian Dumoulin,1000000,D,15,66666.67,0.000015000,LD
Joe Thornton,1340000,C,20,67000.00,0.000014925,C
Richard Panik,1340000,F,20,67000.00,0.000014925,LW
Alexander Radulov,2480000,F,37,67027.03,0.000014919,RW
Nino Niederreiter,1810000,F,27,67037.04,0.000014917,LW
Andre Burakovsky,2280000,F,34,67058.82,0.000014912,LW
Antoine Roussel,1140000,F,17,67058.82,0.000014912,LW/RW
Zach Werenski,2420000,D,36,67222.22,0.000014876,LD
Mikhail Sergachev,2220000,D,33,67272.73,0.000014865,LD
Jack Roslovic,1750000,F,26,67307.69,0.000014857,RW
Victor Hedman,2830000,D,42,67380.95,0.000014841,LD
Alex Iafallo,2430000,F,36,67500.00,0.000014815,LW
Mark Stone,3450000,F,51,67647.06,0.000014783,RW
Dante Fabbro,1150000,D,17,67647.06,0.000014783,RD
Noah Hanifin,1560000,D,23,67826.09,0.000014744,LD
Yanni Gourde,1900000,F,28,67857.14,0.000014737,RW
Dylan Strome,2790000,C,41,68048.78,0.000014695,C
Jonas Brodin,1430000,D,21,68095.24,0.000014685,LD
Brayden Point,3950000,C,58,68103.45,0.000014684,C
Zach Hyman,2320000,F,34,68235.29,0.000014655,LW
Nick Ritchie,1570000,F,23,68260.87,0.000014650,LW
Valtteri Filppula,1230000,C,18,68333.33,0.000014634,C
Aleksander Barkov,3900000,C,57,68421.05,0.000014615,C
Conor Sheary,1300000,F,19,68421.05,0.000014615,LW
Scott Laughton,1850000,C,27,68518.52,0.000014595,C
Conor Garland,2400000,F,35,68571.43,0.000014583,RW
Ryan Dzingel,1450000,F,21,69047.62,0.000014483,LW
Gabriel Landeskog,3040000,F,44,69090.91,0.000014474,LW
Filip Chytil,1520000,C,22,69090.91,0.000014474,C
